"id","user_id","checked_in","checked_out","attendance_type","sign_in_status"
"1","1","2024-06-09 03:21:41","2024-06-09 03:22:55","Member","signedOut"
"2","1","2024-06-09 03:22:37","2024-06-09 03:22:55","Member","signedOut"
"3","1","2024-06-17 19:29:36","2024-06-17 19:29:54","Member","signedOut"
"4","1","2024-07-02 15:20:42","2024-07-02 15:21:00","Member","signedOut"
"5","7","2024-07-02 15:20:55","2024-07-02 15:21:03","Member","signedOut"
"6","23","2024-07-09 12:56:50","2024-07-09 19:44:32","Member","signedOut"
"7","23","2024-07-09 12:56:52","2024-07-09 19:44:32","Member","signedOut"
"8","102","2024-07-09 12:57:51","2024-07-09 19:44:34","Member","signedOut"
"9","102","2024-07-09 12:57:52","2024-07-09 19:44:34","Member","signedOut"
"10","102","2024-07-09 12:57:52","2024-07-09 19:44:34","Member","signedOut"
"11","2","2024-07-29 10:53:45","2024-07-29 16:12:00","Member","signedOut"
"12","102","2024-08-12 10:57:16","2024-08-12 16:55:01","Member","signedOut"
"13","69","2024-08-12 10:58:43","2024-08-12 16:47:37","Member","signedOut"
"14","1","2024-08-12 14:18:54","2024-08-12 16:59:48","Member","signedOut"
"15","26","2024-08-12 16:19:01","2024-08-12 16:59:50","Member","signedOut"
"16","1","2024-08-13 09:30:39","2024-08-13 17:13:17","Member","signedOut"
"17","69","2024-08-13 11:11:07","2024-08-13 17:10:58","Member","signedOut"
"18","44","2024-08-13 12:26:32","2024-08-13 17:10:33","Member","signedOut"
"19","7","2024-08-13 13:57:44","2024-08-13 17:10:52","Member","signedOut"
"20","21","2024-08-13 15:20:25","2024-08-13 17:10:50","Member","signedOut"
"21","6","2024-08-13 15:20:59","2024-08-13 17:10:55","Member","signedOut"
"22","34","2024-08-13 15:21:28","2024-08-13 15:28:07","Member","signedOut"
"23","108","2024-08-13 15:33:48","2024-08-13 17:11:36","Member","signedOut"
"24","87","2024-08-13 15:36:12","2024-08-13 17:10:45","Member","signedOut"
"25","109","2024-08-13 15:38:20","2024-08-13 17:09:51","Member","signedOut"
"26","110","2024-08-13 15:40:25","2024-08-13 17:09:53","Member","signedOut"
"27","23","2024-08-13 15:42:07","2024-08-13 17:10:36","Member","signedOut"
"28","27","2024-08-13 15:51:41","2024-08-13 17:10:32","Member","signedOut"
"29","1","2024-08-14 09:42:22","2024-08-14 16:29:28","Member","signedOut"
"30","111","2024-08-14 13:31:39","2024-08-14 16:07:34","Member","signedOut"
"31","108","2024-08-14 13:34:49","2024-08-14 16:09:45","Member","signedOut"
"32","87","2024-08-14 13:47:36","2024-08-14 16:09:45","Member","signedOut"
"33","69","2024-08-14 13:58:00","2024-08-14 16:05:03","Member","signedOut"
"34","23","2024-08-14 13:58:18","2024-08-14 16:07:55","Member","signedOut"
"35","2","2024-08-14 13:59:35","2024-08-14 16:01:57","Member","signedOut"
"36","68","2024-08-14 14:01:10","2024-08-14 16:02:39","Member","signedOut"
"37","68","2024-08-14 14:01:10","2024-08-14 16:02:39","Member","signedOut"
"38","102","2024-08-14 14:01:48","2024-08-14 16:02:27","Member","signedOut"
"39","67","2024-08-14 15:17:00","2024-08-14 16:29:35","Member","signedOut"
"40","58","2024-08-14 15:18:05","2024-08-14 16:29:32","Member","signedOut"
"41","112","2024-08-14 15:21:15","2024-08-14 16:09:48","Member","signedOut"
"42","113","2024-08-14 15:29:43","2024-08-14 16:29:38","Member","signedOut"
